2001,,vUGW01_OM_Network1
3900,,vUGW01_Base_Network1
3901,,vUGW01_Fabric_Network1
1900,,vUGW01_Srv_1
1901,1916,vUGW01_Srv_1
1917,,vUGW01_Srv_2
1918,1933,vUGW01_Srv_2
1934,,vUGW01_Srv_3
1935,1950,vUGW01_Srv_3
2000,,vUSN01_OM_Network1
3905,,vUSN_Base_Network1
3906,,vUSN_Fabric_Network1
1800,,vUSN01_Srv_1
1801,1816,vUSN01_Srv_1
1817,,vUSN01_Srv_2
1818,1833,vUSN01_Srv_2
1834,,vUSN01_Srv_3
1835,1850,vUSN01_Srv_3
2002,,vCG01_OM_Network1
3911,,vCG_Base_Network1
3912,,vCG_Fabric_Network1
1700,,vCG01_Srv_1
1701,1716,vCG01_Srv_1
1717,,vCG01_Srv_2
1718,1733,vCG01_Srv_2
1734,,vCG01_Srv_3
1735,1750,vCG01_Srv_3
2003,,EPSN01_OM_Network1
3921,,EPSN_Base_Network1
3920,,EPSN_Fabric_Network1
1600,,vEPSN01_Srv_1
1601,1616,vEPSN01_Srv_1
1617,,vEPSN01_Srv_2
1618,1633,vEPSN01_Srv_2
1634,,vEPSN01_Srv_3
1635,1650,vEPSN01_Srv_3
1651,,vEPSN_Srv_4 
1652,1659,vEPSN_Srv_4 
1500,,vEPSN_Srv_5
1501,1516,vEPSN_Srv_5
1689,,vEPSN_Srv_6
1690,1697,vEPSN_Srv_6
1517,,vEPSN_Srv_7
3001,,Inner_Plane1_AAA01
3002,,Inner_Plane2_AAA01
3008,,Data_Network_1_AAA01
3009,,Data_Network_2_AAA01
3003,,Provisioning_NBI_Network_AAA01
3004,,BILL_NBI_Network_AAA01
3005,,SIG_Network_1_AAA01
3006,,SIG_Network_2_AAA01
3007,,SIG_Network_3_AAA01
2004,,S_OM_Network_AAA01
1534,1541,vEPSN_Srv_6
